no,ra,dec,U,B,V,Teff,Mv,SpecType ,
204,82.98275042,-7.301538056,3.3,4.36,4.63,15547.81848,-5.085475629,b'O9.7V',
218,90.97993458,20.13845222,4.24,4.91,4.63,7591.385776,-5.955670287,b'B2Ia',
13,73.72386958,10.15083194,--,4.723,4.648,9276.678763,1.88688981,b'A0Va_lB',
74,76.14228792,15.40410472,--,4.609,4.661,10823.9369,-0.584742931,b'A1VpSiCr',
85,82.43325833,-1.092238333,--,6.28,4.71,3691.168299,-1.219761357,b'K4III',
220,83.76116958,-6.002028611,3.52,4.5,4.72,14086.90138,-3.753243363,b'B1/2Ib/II',
99,73.13317667,14.25064194,--,6.458,4.721,3468.670901,-1.457184976,b'M3SIII',
188,80.44061375,-0.382466667,3.79,4.58,4.74,12691.65978,-2.979157321,b'B2IV',
173,88.11016042,1.855137778,--,6.13,4.75,3983.407628,-3.223780601,b'K2-IIb',
20,84.72117958,-7.212829722,5.04,4.93,4.8,8747.609555,1.604736657,b'A4Vn',
57,77.42482125,15.59721278,5.33,5.14,4.82,7337.081124,-0.214185921,b'F2IV',
92,94.99833542,-2.944493333,--,6.5,4.899,3647.655107,-0.869314272,b'K5III',
49,85.61930083,1.474629167,7.13,6.07,4.9,4368.446246,0.04171746,b'K1III',
136,93.01366458,16.13040583,4.21,4.8,4.92,11920.4953,-1.128574104,b'B5Vn',
224,85.21131208,-1.128787778,3.91,4.74,4.95,13830.71005,-2.250467066,b'B3V',
172,81.18678042,1.846444722,3.83,4.76,4.96,13584.75491,-2.704106072,b'B1Vn',
160,80.70834958,3.544458611,3.99,4.86,5,12292.51685,-3.672255504,b'B2IV/V',
28,81.12040375,-0.891334722,--,6.032,5.072,4840.875346,1.273060851,b'G9III-IVBa0.5',
168,90.86401625,19.69056278,--,5.021,5.13,11726.42651,-1.962811789,b'B8V',
209,83.81860917,-5.389700278,4.2,5.15,5.13,9882.422762,-2.879084158,b'O7Vp',
58,77.92318417,16.0456725,--,6.703,5.163,3734.317364,0.051618133,b'K5III',
39,73.69539625,11.42598306,--,5.291,5.184,8960.535027,0.934357336,b'A3V',
67,89.70656125,0.552982222,--,5.217,5.2,9918.013515,-0.905483312,b'A0V',
69,83.91451708,-4.856066389,--,5.483,5.234,7802.187694,-0.051893379,b'A9IV/V',
81,73.69909167,7.779096111,--,6.539,5.324,4279.503918,-0.539832444,b'K1III',
117,73.34488625,2.508225,--,6.93,5.324,3640.736052,-0.96630473,b'M1III',
36,79.79675,2.595799722,--,5.742,5.325,6790.990237,1.389811053,b'F3III/IV',
64,83.56988917,3.766906111,--,5.383,5.326,9465.673978,-0.785850866,b'A1V',
88,93.85470125,16.14316528,--,5.211,5.327,11849.09911,-0.224250983,b'B7V',
219,83.38102667,-1.156071944,4.26,5.16,5.34,13121.16073,-2.884275367,b'B1V+B4.5V',
227,83.17229583,-1.591831944,4.24,5.15,5.34,13348.43409,-2.803736702,b'B2II/III',
214,87.84159833,-7.518002778,4.32,5.147,5.341,13441.85233,-2.160220947,b'B2V',
43,71.50725167,11.70558667,--,5.566,5.346,8011.38509,1.286830408,b'Am',
21,71.10761875,11.14613417,--,5.638,5.379,7732.795656,2.137431056,b'F0V',
42,94.2775825,9.942392778,--,5.482,5.386,9066.489224,0.802904011,b'A2V',
200,88.95487792,20.17518806,6.82,6.39,5.4,4766.877337,-1.884380007,b'M6-9.5e',
31,77.33184667,9.829583889,5.83,5.67,5.43,7865.813735,1.797436877,b'A2m',
205,82.81054917,3.292131111,4.47,5.29,5.46,12902.39513,-2.250590478,b'B3II/III',
197,93.93735208,12.55107,5.3,5.464,5.467,10162.81046,-2.684138549,b'B9II-III',
107,78.68353792,5.156146667,--,6.853,5.494,4018.698472,-0.698616144,b'K4III',
68,79.0172275,11.341355,--,5.5,5.515,10316.28048,0.11611233,b'A0V',
230,83.75419583,-6.009268333,4.52,5.33,5.53,13584.7664,-2.240500497,b'B1.2',
114,81.25726583,-10.32888583,--,7.126,5.586,3734.317364,-0.691205255,b'K4III',
95,83.47617708,14.3055675,--,5.465,5.593,12066.23451,-1.998783833,b'B3V',
226,91.24316208,4.158662222,--,6.649,5.621,4676.500466,-2.733028111,b'G6II',
201,83.80519417,10.24007722,5.66,5.734,5.638,9066.484571,-2.903602069,b'B9IIIp',
12,93.89277125,-0.512188889,--,6.15,5.65,6388.888889,2.848329037,b'F5V',
101,95.01759958,14.65112944,--,7.224,5.658,3696.861847,-0.949180507,b'K5III',
171,91.24242875,5.419966944,--,6.7,5.658,4644.108919,-1.532261651,b'G7III:',
169,80.38268292,-0.416492778,4.91,5.56,5.68,11920.4953,-1.719024084,b'B5II/III',
